지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
90,속초,2018-01-01,18
90,속초,2018-01-02,23
90,속초,2018-01-03,19
90,속초,2018-01-04,24
90,속초,2018-01-05,20
90,속초,2018-01-06,22
90,속초,2018-01-07,23
90,속초,2018-01-08,14
90,속초,2018-01-09,28
90,속초,2018-01-10,19
90,속초,2018-01-11,22
90,속초,2018-01-12,14
90,속초,2018-01-13,26
90,속초,2018-01-14,31
90,속초,2018-01-15,29
90,속초,2018-01-16,38
90,속초,2018-01-17,47
90,속초,2018-01-18,54
90,속초,2018-01-19,26
90,속초,2018-01-20,82
90,속초,2018-01-21,38
90,속초,2018-01-22,45
90,속초,2018-01-23,15
90,속초,2018-01-24,13
90,속초,2018-01-25,16
90,속초,2018-01-26,17
90,속초,2018-01-27,21
90,속초,2018-01-28,17
90,속초,2018-01-29,26
90,속초,2018-01-30,26
90,속초,2018-01-31,21
90,속초,2018-02-01,22
90,속초,2018-02-02,18
90,속초,2018-02-03,26
90,속초,2018-02-04,24
90,속초,2018-02-05,18
90,속초,2018-02-06,24
90,속초,2018-02-07,23
90,속초,2018-02-08,32
90,속초,2018-02-09,34
90,속초,2018-02-10,48
90,속초,2018-02-11,46
90,속초,2018-02-12,38
90,속초,2018-02-13,39
90,속초,2018-02-14,52
90,속초,2018-02-15,32
90,속초,2018-02-16,31
90,속초,2018-02-17,30
90,속초,2018-02-18,21
90,속초,2018-02-19,40
90,속초,2018-02-20,30
90,속초,2018-02-21,24
90,속초,2018-02-22,40
90,속초,2018-02-23,29
90,속초,2018-02-24,34
90,속초,2018-02-25,33
90,속초,2018-02-26,30
90,속초,2018-02-27,33
90,속초,2018-02-28,35
90,속초,2018-03-01,22
90,속초,2018-03-02,35
90,속초,2018-03-03,35
90,속초,2018-03-04,14
90,속초,2018-03-05,27
90,속초,2018-03-06,34
90,속초,2018-03-07,28
90,속초,2018-03-08,14
90,속초,2018-03-09,38
90,속초,2018-03-10,37
90,속초,2018-03-11,38
90,속초,2018-03-12,55
90,속초,2018-03-13,35
90,속초,2018-03-14,28
90,속초,2018-03-15,16
90,속초,2018-03-16,32
90,속초,2018-03-17,22
90,속초,2018-03-18,23
90,속초,2018-03-19,24
90,속초,2018-03-20,29
90,속초,2018-03-21,29
90,속초,2018-03-22,19
90,속초,2018-03-23,35
90,속초,2018-03-24,51
90,속초,2018-03-25,39
90,속초,2018-03-26,52
90,속초,2018-03-27,53
90,속초,2018-03-28,45
90,속초,2018-03-29,41
90,속초,2018-03-30,26
90,속초,2018-03-31,49
90,속초,2018-04-01,65
90,속초,2018-04-02,64
90,속초,2018-04-03,59
90,속초,2018-04-04,13
90,속초,2018-04-05,15
90,속초,2018-04-06,71
90,속초,2018-04-07,43
90,속초,2018-04-08,20
90,속초,2018-04-09,24
90,속초,2018-04-10,40
90,속초,2018-04-11,44
90,속초,2018-04-12,30
90,속초,2018-04-13,34
90,속초,2018-04-14,22
90,속초,2018-04-15,90
90,속초,2018-04-16,21
90,속초,2018-04-17,37
90,속초,2018-04-18,47
90,속초,2018-04-19,56
90,속초,2018-04-20,68
90,속초,2018-04-21,52
90,속초,2018-04-22,48
90,속초,2018-04-23,14
90,속초,2018-04-24,19
90,속초,2018-04-25,31
90,속초,2018-04-26,32
90,속초,2018-04-27,37
90,속초,2018-04-28,40
90,속초,2018-04-29,55
90,속초,2018-04-30,57
90,속초,2018-05-01,45
90,속초,2018-05-02,25
90,속초,2018-05-04,42
90,속초,2018-05-05,45
90,속초,2018-05-06,19
90,속초,2018-05-07,16
90,속초,2018-05-08,8
90,속초,2018-05-09,21
90,속초,2018-05-10,30
90,속초,2018-05-11,37
90,속초,2018-05-12,17
90,속초,2018-05-13,17
90,속초,2018-05-14,40
90,속초,2018-05-15,65
90,속초,2018-05-16,37
90,속초,2018-05-19,22
90,속초,2018-05-21,16
90,속초,2018-05-22,15
90,속초,2018-05-23,31
90,속초,2018-05-24,103
90,속초,2018-05-25,81
90,속초,2018-05-26,46
90,속초,2018-05-27,40
