,일시,일 미세먼지 농도(㎍/㎥)
0,2018-01-01,32.96296296
1,2018-01-02,40.03703704
2,2018-01-03,23.18518519
3,2018-01-04,26.42307692
4,2018-01-05,29.64285714
5,2018-01-06,28.25925926
6,2018-01-07,32.65384615
7,2018-01-08,28.25925926
8,2018-01-09,30.37037037
9,2018-01-10,21.88888889
10,2018-01-11,21.48148148
11,2018-01-12,18.44444444
12,2018-01-13,31.03846154
13,2018-01-14,38.77777778
14,2018-01-15,42.22222222
15,2018-01-16,48.65384615
16,2018-01-17,37.2962963
17,2018-01-18,68.85185185
18,2018-01-19,46.65384615
19,2018-01-20,73.22222222
20,2018-01-21,58.74074074
21,2018-01-22,41.62962963
22,2018-01-23,20.61538462
23,2018-01-24,21.62962963
24,2018-01-25,18.15384615
25,2018-01-26,21.11111111
26,2018-01-27,27.11111111
27,2018-01-28,24.11538462
28,2018-01-29,33.7037037
29,2018-01-30,32.57142857
30,2018-01-31,31.53571429
31,2018-02-01,29.5
32,2018-02-02,31.39285714
33,2018-02-03,28.39285714
34,2018-02-04,22.14285714
35,2018-02-05,20.61538462
36,2018-02-06,22.67857143
37,2018-02-07,24.28571429
38,2018-02-08,36.67857143
39,2018-02-09,42.25
40,2018-02-10,54
41,2018-02-11,40.17241379
42,2018-02-12,36.10344828
43,2018-02-13,38.07142857
44,2018-02-14,52.42857143
45,2018-02-15,36.24137931
46,2018-02-16,30.51724138
47,2018-02-17,32
48,2018-02-18,28.37931034
49,2018-02-19,44.82758621
50,2018-02-20,47.82758621
51,2018-02-21,27.7037037
52,2018-02-22,36.39285714
53,2018-02-23,59
54,2018-02-24,53.13793103
55,2018-02-25,34.06896552
56,2018-02-26,36.07142857
57,2018-02-27,50.62962963
58,2018-02-28,39.17647059
59,2018-03-01,33.59259259
60,2018-03-02,41.86206897
61,2018-03-03,35.62068966
62,2018-03-04,22.22222222
63,2018-03-05,16.75
64,2018-03-06,22.92307692
65,2018-03-07,23.85714286
66,2018-03-08,21.9047619
67,2018-03-09,33.71428571
68,2018-03-10,31.42857143
69,2018-03-11,44.78571429
70,2018-03-12,61.24137931
71,2018-03-13,33.82142857
72,2018-03-14,22.76
73,2018-03-15,18.88461538
74,2018-03-16,19.45
75,2018-03-17,22.25
76,2018-03-18,29.03448276
77,2018-03-19,20.16666667
78,2018-03-20,16.22222222
79,2018-03-21,12.63157895
80,2018-03-22,23.80769231
81,2018-03-23,39.62068966
82,2018-03-24,62.44827586
83,2018-03-25,53.5
84,2018-03-26,46.14814815
85,2018-03-27,56.22222222
86,2018-03-28,40.46428571
87,2018-03-29,36.55172414
88,2018-03-30,37.4137931
89,2018-03-31,45.03448276
90,2018-04-01,57.25
91,2018-04-02,54.32142857
92,2018-04-03,44.96153846
93,2018-04-04,19.41176471
94,2018-04-05,12.875
95,2018-04-06,85.73076923
96,2018-04-07,43.93103448
97,2018-04-08,32.62068966
98,2018-04-09,41.96428571
99,2018-04-10,37.96428571
100,2018-04-11,47.03571429
101,2018-04-12,35.03448276
102,2018-04-13,33.13793103
103,2018-04-14,19.08333333
104,2018-04-15,89.51724138
105,2018-04-16,39.10344828
106,2018-04-17,54.67857143
107,2018-04-18,61.7037037
108,2018-04-19,49.51724138
109,2018-04-20,67.31034483
110,2018-04-21,50.06896552
111,2018-04-22,34.21428571
112,2018-04-23,13.14285714
113,2018-04-24,11.66666667
114,2018-04-25,26.38461538
115,2018-04-26,34.17857143
116,2018-04-27,36.81481481
117,2018-04-28,42.89285714
118,2018-04-29,42.51724138
119,2018-04-30,46.48275862
120,2018-05-01,40.68965517
121,2018-05-02,23.36363636
122,2018-05-03,34.13043478
123,2018-05-04,34.77777778
124,2018-05-05,33
125,2018-05-06,15.73076923
