sm_cat,ÀÏ½Ã,qty,Æò±Õ±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ºÒÄèÁö¼ö,¿­Áö¼ö,Ã¼°¨¿Âµµ
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-01-29,2,-6.496414342629475,-9.936182902584484,-2.3379721669980142,31.110376672342213,12.059606170014687,-7.639589675769967
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-03-07,2,4.768999999999998,0.9332,8.830599999999993,43.20664366536842,34.37675238947368,5.1881782681614
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-03-13,1,11.290513833992092,2.8893069306930665,18.440198019802,53.437618596837936,47.28543839130434,12.057261797093362
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-03-27,2,12.200592885375489,4.460671936758894,19.93932806324111,54.81834556209694,49.08603587093821,13.35743416940367
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-04-19,1,13.542490118577062,4.642261904761901,21.92123015873015,56.83736005224538,51.73687193478259,14.829190258892313
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-05-19,1,15.123904382470124,10.143824701195214,20.6422310756972,59.01152165368634,54.87755246223709,16.190667451118266
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-06-11,2,18.00079681274901,15.819000000000004,21.32800000000001,63.74119370224366,60.57976395240093,19.71908956569289
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-06-18,3,22.16580516898608,16.84990019960081,28.649500998004,69.6158265102438,68.8212595398556,24.17394746012279
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-06-19,5,20.4894422310757,17.026494023904387,24.94302788844622,67.77149905143258,65.50738211752989,22.460484794271014
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-07-16,15,26.82714570858284,21.91856287425149,32.649301397205576,77.13298463702384,78.05264900299402,29.022070556179457
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-07-17,8,26.57185628742516,21.88320000000002,32.10219999999999,76.7394669886543,77.54717962804918,28.75004838281468
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-07-19,15,26.742714570858272,21.76933867735472,32.73687374749497,76.98656264651748,77.88541372398359,28.941635366931184
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-08-02,14,29.2394,24.18079999999999,35.239199999999975,80.0066289372842,82.82617335789475,31.53779768948392
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-08-09,4,27.523046092184387,24.154509018036087,32.63186372745493,78.88568154076577,79.43299082041982,29.74282399066865
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-08-14,3,28.75705765407554,24.170377733598382,34.90974155069581,79.7363321598828,81.87261873401694,31.026878282249317
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-08-17,5,24.267261904761902,19.96964285714284,29.41408730158731,71.8641189518797,72.97773082406016,26.08968932110897
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-08-21,1,25.81414342629484,21.353892215568862,31.07624750499001,75.39604221986525,76.0461874840638,27.88113003791244
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-09-26,1,17.30476190476191,13.161952191235072,22.67569721115541,62.28333209118542,59.19606757142859,18.72969398071791
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-09-28,1,16.567992047713712,11.623353293413164,21.795808383233528,61.3099526372711,57.74016812815736,18.17659173762097
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-10-14,4,12.529306930693064,6.531809145129223,19.463220675944324,55.061615197102654,49.74241341750911,14.238095800896984
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-10-24,1,11.62376237623763,6.632270916334671,18.737250996015927,53.710220902553424,47.94879599968735,13.13845060044959
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-11-02,1,8.725298804780875,2.3544000000000005,17.615,49.54221618613965,42.20784532820297,10.4129772697192
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-11-04,1,9.870039682539687,3.3073558648111367,18.88170974155069,51.23898257330828,44.47439219248121,11.527359096998255
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-11-13,1,8.40513833992095,3.826984126984128,14.501190476190468,48.65997662284169,41.5771409235698,9.692840175426571
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-11-20,4,5.7631474103585605,-0.1341317365269454,12.934730538922157,46.26842951042637,36.33673287250995,6.9456669584108255
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-02,2,8.473306772908371,1.3716,14.89920000000001,48.85880230924722,41.711371820884885,9.590312494547176
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-13,1,-0.6235059760956166,-5.450698602794409,4.450698602794415,36.52316967729083,23.694670893646467,-0.7950158484136941
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-17,2,2.621713147410357,-1.2996000000000003,7.032200000000003,41.13439218404277,30.120262147661983,2.7908264419936137
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-18,2,2.127345309381237,-3.0658634538152607,8.026907630522086,40.29604997163568,29.141926870469582,2.7330391007792127
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-19,2,4.881274900398409,-0.6879759519038072,11.056112224448896,44.01572181002307,34.595892355420425,5.828409639139179
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-20,3,3.8996015936254977,-0.3294820717131475,10.285657370517928,42.14714521417488,32.6541289659048,5.437091374263497
º®°ÉÀÌÇü ³Ã¿ÂÇ³±â,2018-12-21,1,5.16594059405941,-0.9238095238095244,12.086904761904766,43.867793583324655,35.16241721834289,6.724348069149609
