"","sns2019_2.date","sns2019_2.big_cat","sns2019_2.sm_cat","sns2019_2.cnt"
"1","20190701","뷰티","기능성 링클케어 화장품",22.440232
"2","20190701","뷰티","기능성 모공관리 화장품",72.333285
"3","20190701","뷰티","기능성 아이케어 화장품",5.598084
"4","20190701","뷰티","기능성 영양보습 화장품",8.443435
"5","20190701","뷰티","기능성 트러블케어 화장품",80.448077
"6","20190701","뷰티","기능성 화이트닝 화장품",25.775455
"7","20190701","뷰티","기능성 화장품 세트",12.290427
"8","20190701","뷰티","기초 화장용 로션",128.375827
"9","20190701","뷰티","기초 화장용 미스트",38.715209
"10","20190701","뷰티","기초 화장용 스킨",3.813709
"11","20190701","뷰티","기초 화장용 에센스",74.119098
"12","20190701","뷰티","기초 화장용 오일/앰플",52.962545
"13","20190701","뷰티","기초 화장용 크림",86.038877
"14","20190701","뷰티","남성 로션",6.721168
"15","20190701","뷰티","남성 메이크업",22.540755
"16","20190701","뷰티","남성 선케어",1.476912
"17","20190701","뷰티","남성 세트",1.662393
"18","20190701","뷰티","남성 쉐이빙",0.964596
"19","20190701","뷰티","남성 스킨",11.650828
"20","20190701","뷰티","남성 에센스",3.534388
"21","20190701","뷰티","남성 크림",3.277031
"22","20190701","뷰티","남성 클렌징",2.896667
"23","20190701","뷰티","남성향수",12.008978
"24","20190701","뷰티","네일 메이크업 용품",30.424692
"25","20190701","뷰티","네일관리 소품",1.863557
"26","20190701","뷰티","네일리무버",1.559796
"27","20190701","뷰티","네일세트",6.929597
"28","20190701","뷰티","네일아트",36.574243
"29","20190701","뷰티","네일컬러",81.586909
"30","20190701","뷰티","네일케어",61.646893
"31","20190701","뷰티","데오드란트",9.602538
"32","20190701","뷰티","린스",14.861069
"33","20190701","뷰티","립앤아이 리무버",2.04223
"34","20190701","뷰티","메이크업 박스",3.386941
"35","20190701","뷰티","메이크업 브러쉬",7.35283
"36","20190701","뷰티","미용가위",2.164964
"37","20190701","뷰티","바디 보습제",0.774927
"38","20190701","뷰티","바디 세트",10.956486
"39","20190701","뷰티","바디 스크럽",4.105473
"40","20190701","뷰티","바디 클렌져",4.201309
"41","20190701","뷰티","바디케어용 땀패드",6.662623
"42","20190701","뷰티","바디케어용 때비누",0.346282
"43","20190701","뷰티","바디케어용 볼륨업크림",2.254187
"44","20190701","뷰티","바디케어용 슬리밍",4.587584
"45","20190701","뷰티","바디케어용 제모제",0.13956
"46","20190701","뷰티","바디케어용 청 결제",6.497619
"47","20190701","뷰티","베이스 메이크업 세트",7.364448
"48","20190701","뷰티","베이스 메이크업용 BB크림",7.03272
"49","20190701","뷰티","베이스 메이크업용 CC크림",2.047999
"50","20190701","뷰티","베이스 메이크업용 가루파우더",0.026495
"51","20190701","뷰티","베이스 메이크업용 메이크업베이스",16.736875
"52","20190701","뷰티","베이스 메이크업용 컨실러",7.945702
"53","20190701","뷰티","베이스 메이크업용 쿠션팩트",6.652246
"54","20190701","뷰티","베이스 메이크업용 트윈케이크",0.086569
"55","20190701","뷰티","베이스 메이크업용 파우더팩트",3.55052
"56","20190701","뷰티","베이스 메이크업용 파운데이션",27.364635
"57","20190701","뷰티","베이스 메이크업용 프라이머",14.1795
"58","20190701","뷰티","뷰티 눈썹정리도구",0.185462
"59","20190701","뷰티","뷰티 속눈썹/쌍꺼풀",1.070574
"60","20190701","뷰티","뷰티 손거울",4.990261
"61","20190701","뷰티","뷰티 타투",13.367215
"62","20190701","뷰티","뷰티 헤어캡",1.260768
"63","20190701","뷰티","뷰티 화장솜",12.517406
"64","20190701","뷰티","뷰티 화장품 공병/케이스",7.564083
"65","20190701","뷰티","뷰티용 기름종이",2.680504
"66","20190701","뷰티","뷰티용 면봉/귀이개",16.841348
"67","20190701","뷰티","뷰티용 뷰러",21.341566
"68","20190701","뷰티","뷰티용 샤프너",0.113064
"69","20190701","뷰티","뷰티용 여드름압출기",0.279119
"70","20190701","뷰티","색조 메이크업 립글로스",2.940601
"71","20190701","뷰티","색조 메이크업 립라이너",0.914478
"72","20190701","뷰티","색조 메이크업 립밤",11.055854
"73","20190701","뷰티","색조 메이크업 립스틱",52.825178
"74","20190701","뷰티","색조 메이크업 립틴트",50.696931
"75","20190701","뷰티","색조 메이크업 마스카라",23.947119
"76","20190701","뷰티","색조 메이크업 볼터치",8.360675
"77","20190701","뷰티","색조 메이크업 세트",4.335284
"78","20190701","뷰티","색조 메이크업 속눈썹영양제",16.440482
"79","20190701","뷰티","색조 메이크업 쉐딩/하이라이터",7.546738
"80","20190701","뷰티","색조 메이크업 아이라이너",11.563982
"81","20190701","뷰티","색조 메이크업 아이브로우",7.946179
"82","20190701","뷰티","색조 메이크업 아이섀도우",7.171777
"83","20190701","뷰티","샤워코롱",0.279119
"84","20190701","뷰티","샴푸",128.21722
"85","20190701","뷰티","선로션",1.131659
"86","20190701","뷰티","선스프레이",0.70776
"87","20190701","뷰티","선케어용 선밤",0.086564
"88","20190701","뷰티","선크림",88.447201
"89","20190701","뷰티","선파우더",0
"90","20190701","뷰티","세안도구",0.113065
"91","20190701","뷰티","손톱정리도구",0.575273
"92","20190701","뷰티","스크럽/필링크림",11.769127
"93","20190701","뷰티","스킨케어 곡물팩",0.594699
"94","20190701","뷰티","스킨케어 마스크팩",69.236036
"95","20190701","뷰티","스킨케어 수면팩",1.73767
"96","20190701","뷰티","스킨케어 시트마스크팩",0.989231
"97","20190701","뷰티","스킨케어 워시오프팩",0.992105
"98","20190701","뷰티","스킨케어 코팩",3.206188
"99","20190701","뷰티","스킨케어 필오프팩",3.129037
"100","20190701","뷰티","애프터선",0.594697
"101","20190701","뷰티","여성향수",14.722238
"102","20190701","뷰티","입욕제",14.728126
"103","20190701","뷰티","클렌징 로션",7.126199
"104","20190701","뷰티","클렌징 오일",17.073489
"105","20190701","뷰티","클렌징 워터/젤",13.215082
"106","20190701","뷰티","클렌징 크림",13.047798
